'Time','ABP','PLETH','II'
'[23:07:49.792]',75.781,0.404,-0.181
'[23:07:49.800]',75.781,0.396,-0.165
'[23:07:49.808]',75.000,0.392,-0.157
'[23:07:49.816]',75.000,0.384,-0.142
'[23:07:49.824]',74.219,0.380,-0.118
'[23:07:49.832]',73.438,0.373,-0.110
'[23:07:49.840]',73.438,0.369,-0.094
'[23:07:49.848]',73.438,0.361,-0.071
'[23:07:49.856]',73.438,0.357,-0.055
'[23:07:49.864]',75.000,0.353,-0.031
'[23:07:49.872]',78.125,0.349,-0.008
'[23:07:49.880]',81.250,0.345,0.024
'[23:07:49.888]',86.719,0.337,0.063
'[23:07:49.896]',91.406,0.333,0.087
'[23:07:49.904]',96.875,0.329,0.118
'[23:07:49.912]',102.344,0.325,0.126
'[23:07:49.920]',107.812,0.322,0.142
'[23:07:49.928]',112.500,0.318,0.150
'[23:07:49.936]',117.188,0.314,0.134
'[23:07:49.944]',121.875,0.310,0.102
'[23:07:49.952]',126.562,0.306,0.063
'[23:07:49.960]',132.031,0.306,0.016
'[23:07:49.968]',136.719,0.302,-0.024
'[23:07:49.976]',140.625,0.298,-0.047
'[23:07:49.984]',144.531,0.294,-0.063
'[23:07:49.992]',147.656,0.290,-0.071
'[23:07:50.000]',150.000,0.290,-0.079
'[23:07:50.008]',152.344,0.286,-0.071
'[23:07:50.016]',153.906,0.282,-0.071
'[23:07:50.024]',154.688,0.278,-0.071
'[23:07:50.032]',154.688,0.278,-0.071
'[23:07:50.040]',154.688,0.275,-0.071
'[23:07:50.048]',154.688,0.275,-0.071
'[23:07:50.056]',153.906,0.271,-0.071
'[23:07:50.064]',153.125,0.271,-0.063
'[23:07:50.072]',151.562,0.267,-0.063
'[23:07:50.080]',150.781,0.263,-0.063
'[23:07:50.088]',149.219,0.263,-0.063
'[23:07:50.096]',147.656,0.259,-0.047
'[23:07:50.104]',145.312,0.259,-0.047
'[23:07:50.112]',142.969,0.259,-0.047
'[23:07:50.120]',140.625,0.259,-0.039
'[23:07:50.128]',137.500,0.259,-0.031
'[23:07:50.136]',134.375,0.267,-0.031
'[23:07:50.144]',130.469,0.275,-0.024
'[23:07:50.152]',126.562,0.286,-0.016
'[23:07:50.160]',122.656,0.302,-0.016
'[23:07:50.168]',118.750,0.322,-0.016
'[23:07:50.176]',114.844,0.345,-0.008
'[23:07:50.184]',111.719,0.369,-0.008
'[23:07:50.192]',109.375,0.396,-0.008
'[23:07:50.200]',107.031,0.427,-0.008
'[23:07:50.208]',104.688,0.455,-0.008
'[23:07:50.216]',103.125,0.482,-0.008
'[23:07:50.224]',101.562,0.514,0.008
'[23:07:50.232]',100.000,0.541,0.031
'[23:07:50.240]',98.438,0.569,0.047
'[23:07:50.248]',97.656,0.588,0.063
'[23:07:50.256]',96.094,0.612,0.079
'[23:07:50.264]',95.312,0.635,0.134
'[23:07:50.272]',94.531,0.659,0.165
'[23:07:50.280]',94.531,0.678,0.173
'[23:07:50.288]',94.531,0.694,0.181
'[23:07:50.296]',93.750,0.710,0.126
'[23:07:50.304]',92.969,0.722,0.087
'[23:07:50.312]',92.188,0.729,0.039
'[23:07:50.320]',91.406,0.741,0.008
'[23:07:50.328]',90.625,0.749,-0.008
'[23:07:50.336]',90.625,0.753,-0.008
'[23:07:50.344]',89.844,0.753,-0.008
'[23:07:50.352]',89.844,0.749,-0.008
'[23:07:50.360]',89.062,0.745,-0.031
'[23:07:50.368]',89.062,0.741,-0.047
'[23:07:50.376]',88.281,0.733,0.157
'[23:07:50.384]',87.500,0.725,0.528
'[23:07:50.392]',86.719,0.714,1.047
'[23:07:50.400]',85.938,0.702,1.197
'[23:07:50.408]',85.938,0.686,0.945
'[23:07:50.416]',85.156,0.671,0.449
'[23:07:50.424]',84.375,0.651,0.189
'[23:07:50.432]',83.594,0.631,0.063
'[23:07:50.440]',82.812,0.612,-0.008
'[23:07:50.448]',82.031,0.592,-0.031
'[23:07:50.456]',82.031,0.573,-0.047
'[23:07:50.464]',81.250,0.553,-0.047
'[23:07:50.472]',81.250,0.533,-0.031
'[23:07:50.480]',80.469,0.514,-0.039
'[23:07:50.488]',79.688,0.498,-0.031
'[23:07:50.496]',79.688,0.482,-0.024
'[23:07:50.504]',78.906,0.467,-0.016
'[23:07:50.512]',78.906,0.451,-0.008
'[23:07:50.520]',78.125,0.439,0.000
'[23:07:50.528]',78.125,0.424,0.024
'[23:07:50.536]',77.344,0.412,0.024
'[23:07:50.544]',77.344,0.404,0.047
'[23:07:50.552]',76.562,0.396,0.055
'[23:07:50.560]',76.562,0.388,0.063
'[23:07:50.568]',75.781,0.380,0.079
'[23:07:50.576]',75.000,0.373,0.094
'[23:07:50.584]',75.000,0.365,0.110
'[23:07:50.592]',74.219,0.357,0.118
'[23:07:50.600]',74.219,0.349,0.142
'[23:07:50.608]',73.438,0.345,0.157
'[23:07:50.616]',74.219,0.337,0.181
'[23:07:50.624]',75.000,0.333,0.205
'[23:07:50.632]',77.344,0.325,0.228
'[23:07:50.640]',79.688,0.322,0.252
'[23:07:50.648]',83.594,0.318,0.276
'[23:07:50.656]',89.062,0.314,0.307
'[23:07:50.664]',96.094,0.310,0.323
'[23:07:50.672]',101.562,0.306,0.339
'[23:07:50.680]',107.031,0.302,0.354
'[23:07:50.688]',110.938,0.298,0.362
'[23:07:50.696]',115.625,0.294,0.354
'[23:07:50.704]',120.312,0.290,0.331
'[23:07:50.712]',125.000,0.286,0.291
'[23:07:50.720]',129.688,0.282,0.236
'[23:07:50.728]',134.375,0.278,0.189
'[23:07:50.736]',139.062,0.278,0.165
'[23:07:50.744]',142.969,0.275,0.134
'[23:07:50.752]',146.875,0.275,0.118
'[23:07:50.760]',149.219,0.275,0.118
'[23:07:50.768]',151.562,0.271,0.110
'[23:07:50.776]',153.125,0.267,0.118
'[23:07:50.784]',154.688,0.267,0.118
'[23:07:50.792]',154.688,0.263,0.118
'[23:07:50.800]',154.688,0.263,0.118
'[23:07:50.808]',154.688,0.259,0.118
'[23:07:50.816]',153.906,0.259,0.110
'[23:07:50.824]',153.125,0.255,0.110
'[23:07:50.832]',152.344,0.255,0.118
'[23:07:50.840]',150.781,0.251,0.118
'[23:07:50.848]',149.219,0.251,0.118
'[23:07:50.856]',147.656,0.251,0.118
'[23:07:50.864]',146.094,0.247,0.118
'[23:07:50.872]',144.531,0.247,0.126
'[23:07:50.880]',142.188,0.247,0.134
'[23:07:50.888]',139.844,0.247,0.134
'[23:07:50.896]',136.719,0.251,0.142
'[23:07:50.904]',133.594,0.255,0.142
'[23:07:50.912]',129.688,0.267,0.150
'[23:07:50.920]',125.781,0.278,0.150
'[23:07:50.928]',121.875,0.298,0.150
'[23:07:50.936]',117.969,0.322,0.157
'[23:07:50.944]',114.844,0.341,0.150
'[23:07:50.952]',111.719,0.365,0.150
'[23:07:50.960]',109.375,0.388,0.157
'[23:07:50.968]',107.031,0.416,0.165
'[23:07:50.976]',104.688,0.447,0.165
'[23:07:50.984]',103.125,0.475,0.165
'[23:07:50.992]',101.562,0.502,0.173
'[23:07:51.000]',100.000,0.529,0.181
'[23:07:51.008]',99.219,0.561,0.197
'[23:07:51.016]',98.438,0.584,0.236
'[23:07:51.024]',96.875,0.612,0.244
'[23:07:51.032]',96.094,0.631,0.260
'[23:07:51.040]',96.094,0.651,0.315
'[23:07:51.048]',95.312,0.663,0.354
'[23:07:51.056]',94.531,0.678,0.362
'[23:07:51.064]',93.750,0.690,0.370
'[23:07:51.072]',92.969,0.702,0.307
'[23:07:51.080]',92.969,0.710,0.260
'[23:07:51.088]',92.188,0.718,0.205
'[23:07:51.096]',92.188,0.722,0.173
'[23:07:51.104]',91.406,0.725,0.165
'[23:07:51.112]',90.625,0.725,0.150
'[23:07:51.120]',90.625,0.722,0.150
'[23:07:51.128]',89.844,0.722,0.150
'[23:07:51.136]',89.062,0.714,0.126
'[23:07:51.144]',89.062,0.706,0.102
'[23:07:51.152]',88.281,0.698,0.276
'[23:07:51.160]',87.500,0.686,0.677
'[23:07:51.168]',85.938,0.675,1.228
'[23:07:51.176]',85.156,0.659,1.465
'[23:07:51.184]',84.375,0.643,1.213
'[23:07:51.192]',84.375,0.627,0.685
'[23:07:51.200]',84.375,0.608,0.362
'[23:07:51.208]',84.375,0.588,0.220
'[23:07:51.216]',84.375,0.569,0.134
'[23:07:51.224]',83.594,0.549,0.110
'[23:07:51.232]',82.812,0.529,0.094
'[23:07:51.240]',81.250,0.514,0.102
'[23:07:51.248]',80.469,0.498,0.110
'[23:07:51.256]',79.688,0.482,0.118
'[23:07:51.264]',78.906,0.471,0.118
'[23:07:51.272]',78.906,0.455,0.118
'[23:07:51.280]',78.906,0.443,0.134
'[23:07:51.288]',79.688,0.431,0.142
'[23:07:51.296]',79.688,0.420,0.150
'[23:07:51.304]',80.469,0.412,0.165
'[23:07:51.312]',79.688,0.400,0.165
'[23:07:51.320]',79.688,0.392,0.181
'[23:07:51.328]',78.125,0.388,0.189
'[23:07:51.336]',77.344,0.380,0.205
'[23:07:51.344]',75.781,0.373,0.213
'[23:07:51.352]',75.000,0.369,0.220
'[23:07:51.360]',73.438,0.365,0.236
'[23:07:51.368]',73.438,0.361,0.252
'[23:07:51.376]',74.219,0.353,0.268
'[23:07:51.384]',75.000,0.349,0.283
'[23:07:51.392]',76.562,0.345,0.307
'[23:07:51.400]',78.125,0.341,0.323
'[23:07:51.408]',79.688,0.333,0.346
'[23:07:51.416]',81.250,0.329,0.378
'[23:07:51.424]',82.812,0.325,0.402
'[23:07:51.432]',86.719,0.322,0.433
'[23:07:51.440]',92.188,0.318,0.465
'[23:07:51.448]',99.219,0.318,0.488
'[23:07:51.456]',107.812,0.314,0.496
'[23:07:51.464]',114.844,0.310,0.512
'[23:07:51.472]',121.094,0.306,0.496
'[23:07:51.480]',126.562,0.302,0.480
'[23:07:51.488]',130.469,0.298,0.433
'[23:07:51.496]',132.812,0.294,0.378
'[23:07:51.504]',135.938,0.290,0.331
'[23:07:51.512]',138.281,0.286,0.291
'[23:07:51.520]',142.188,0.282,0.260
'[23:07:51.528]',145.312,0.282,0.236
'[23:07:51.536]',149.219,0.278,0.228
'[23:07:51.544]',152.344,0.275,0.220
'[23:07:51.552]',154.688,0.275,0.220
'[23:07:51.560]',156.250,0.271,0.213
'[23:07:51.568]',157.031,0.271,0.220
'[23:07:51.576]',157.812,0.267,0.213
'[23:07:51.584]',157.812,0.267,0.220
'[23:07:51.592]',157.031,0.267,0.213
'[23:07:51.600]',157.031,0.263,0.220
'[23:07:51.608]',155.469,0.263,0.213
'[23:07:51.616]',153.906,0.263,0.220
'[23:07:51.624]',151.562,0.259,0.220
'[23:07:51.632]',149.219,0.259,0.220
'[23:07:51.640]',147.656,0.259,0.220
'[23:07:51.648]',146.094,0.259,0.228
'[23:07:51.656]',143.750,0.263,0.236
'[23:07:51.664]',141.406,0.263,0.236
'[23:07:51.672]',139.844,0.267,0.236
'[23:07:51.680]',137.500,0.275,0.236
'[23:07:51.688]',133.594,0.286,0.236
'[23:07:51.696]',129.688,0.302,0.236
'[23:07:51.704]',125.781,0.318,0.236
'[23:07:51.712]',121.094,0.341,0.236
'[23:07:51.720]',117.188,0.365,0.236
'[23:07:51.728]',113.281,0.388,0.236
'[23:07:51.736]',110.156,0.416,0.236
'[23:07:51.744]',107.812,0.443,0.228
'[23:07:51.752]',105.469,0.467,0.220
'[23:07:51.760]',103.906,0.494,0.220
'[23:07:51.768]',102.344,0.522,0.213
'[23:07:51.776]',100.781,0.549,0.220
'[23:07:51.784]',100.000,0.576,0.220
'[23:07:51.792]',98.438,0.608,0.220
'[23:07:51.800]',96.875,0.631,0.220
'[23:07:51.808]',96.094,0.655,0.236
'[23:07:51.816]',96.094,0.678,0.268
'[23:07:51.824]',96.094,0.698,0.283
'[23:07:51.832]',96.094,0.714,0.291
'[23:07:51.840]',94.531,0.725,0.331
'[23:07:51.848]',93.750,0.733,0.386
'[23:07:51.856]',92.969,0.741,0.394
'[23:07:51.864]',91.406,0.745,0.402
'[23:07:51.872]',90.625,0.749,0.370
'[23:07:51.880]',89.844,0.753,0.307
'[23:07:51.888]',89.062,0.753,0.260
'[23:07:51.896]',89.062,0.753,0.205
'[23:07:51.904]',89.062,0.749,0.189
'[23:07:51.912]',89.062,0.745,0.181
'[23:07:51.920]',88.281,0.741,0.181
'[23:07:51.928]',88.281,0.733,0.181
'[23:07:51.936]',86.719,0.725,0.165
'[23:07:51.944]',85.156,0.718,0.126
'[23:07:51.952]',84.375,0.706,0.236
'[23:07:51.960]',84.375,0.694,0.559
'[23:07:51.968]',85.156,0.678,1.063
'[23:07:51.976]',85.156,0.663,1.402
'[23:07:51.984]',84.375,0.643,1.220
'[23:07:51.992]',82.812,0.627,0.780
'[23:07:52.000]',82.031,0.608,0.394
'[23:07:52.008]',81.250,0.588,0.244
'[23:07:52.016]',79.688,0.569,0.134
'[23:07:52.024]',79.688,0.549,0.102
'[23:07:52.032]',78.906,0.533,0.094
'[23:07:52.040]',78.125,0.518,0.094
'[23:07:52.048]',78.125,0.502,0.094
'[23:07:52.056]',77.344,0.490,0.094
'[23:07:52.064]',77.344,0.475,0.094
'[23:07:52.072]',77.344,0.463,0.094
'[23:07:52.080]',77.344,0.451,0.110
'[23:07:52.088]',77.344,0.439,0.110
'[23:07:52.096]',77.344,0.427,0.118
'[23:07:52.104]',77.344,0.420,0.126
'[23:07:52.112]',76.562,0.408,0.134
'[23:07:52.120]',76.562,0.400,0.150
'[23:07:52.128]',75.781,0.392,0.150
'[23:07:52.136]',75.000,0.384,0.165
'[23:07:52.144]',74.219,0.380,0.173
'[23:07:52.152]',73.438,0.373,0.181
'[23:07:52.160]',72.656,0.369,0.189
'[23:07:52.168]',72.656,0.361,0.205
'[23:07:52.176]',71.875,0.353,0.213
'[23:07:52.184]',71.875,0.349,0.228
'[23:07:52.192]',72.656,0.345,0.244
'[23:07:52.200]',73.438,0.341,0.260
'[23:07:52.208]',75.000,0.337,0.283
'[23:07:52.216]',78.125,0.333,0.307
'[23:07:52.224]',81.250,0.329,0.331
'[23:07:52.232]',85.938,0.325,0.362
'[23:07:52.240]',90.625,0.322,0.386
'[23:07:52.248]',96.094,0.318,0.402
'[23:07:52.256]',100.781,0.314,0.417
'[23:07:52.264]',106.250,0.310,0.425
'[23:07:52.272]',110.938,0.306,0.433
'[23:07:52.280]',115.625,0.302,0.417
'[23:07:52.288]',120.312,0.298,0.370
'[23:07:52.296]',125.000,0.294,0.331
'[23:07:52.304]',131.250,0.286,0.276
'[23:07:52.312]',135.938,0.282,0.236
'[23:07:52.320]',140.625,0.278,0.205
'[23:07:52.328]',145.312,0.271,0.181
'[23:07:52.336]',149.219,0.267,0.165
'[23:07:52.344]',152.344,0.267,0.150
'[23:07:52.352]',153.906,0.263,0.150
'[23:07:52.360]',153.906,0.259,0.142
'[23:07:52.368]',154.688,0.255,0.134
'[23:07:52.376]',153.906,0.255,0.134
'[23:07:52.384]',153.906,0.255,0.142
'[23:07:52.392]',153.125,0.251,0.134
'[23:07:52.400]',153.125,0.247,0.134
'[23:07:52.408]',152.344,0.247,0.126
'[23:07:52.416]',151.562,0.243,0.118
'[23:07:52.424]',150.000,0.243,0.118
'[23:07:52.432]',147.656,0.239,0.126
'[23:07:52.440]',146.094,0.239,0.118
'[23:07:52.448]',143.750,0.239,0.126
'[23:07:52.456]',141.406,0.239,0.134
'[23:07:52.464]',139.062,0.239,0.134
'[23:07:52.472]',136.719,0.243,0.134
'[23:07:52.480]',132.812,0.247,0.134
'[23:07:52.488]',128.906,0.255,0.134
'[23:07:52.496]',125.000,0.271,0.134
'[23:07:52.504]',121.094,0.286,0.142
'[23:07:52.512]',117.188,0.306,0.142
'[23:07:52.520]',113.281,0.325,0.134
'[23:07:52.528]',110.938,0.349,0.142
'[23:07:52.536]',107.812,0.373,0.134
'[23:07:52.544]',106.250,0.392,0.134
'[23:07:52.552]',103.906,0.412,0.142
'[23:07:52.560]',102.344,0.435,0.134
'[23:07:52.568]',100.000,0.459,0.134
'[23:07:52.576]',98.438,0.482,0.142
'[23:07:52.584]',96.875,0.506,0.134
'[23:07:52.592]',95.312,0.525,0.134
'[23:07:52.600]',94.531,0.549,0.134
'[23:07:52.608]',94.531,0.569,0.142
'[23:07:52.616]',93.750,0.584,0.150
'[23:07:52.624]',92.969,0.600,0.165
'[23:07:52.632]',92.969,0.616,0.189
'[23:07:52.640]',92.188,0.624,0.197
'[23:07:52.648]',91.406,0.631,0.228
'[23:07:52.656]',91.406,0.639,0.291
'[23:07:52.664]',90.625,0.647,0.315
'[23:07:52.672]',89.844,0.651,0.323
'[23:07:52.680]',89.062,0.655,0.299
'[23:07:52.688]',89.062,0.659,0.236
'[23:07:52.696]',89.062,0.663,0.189
'[23:07:52.704]',88.281,0.663,0.134
'[23:07:52.712]',87.500,0.663,0.110
'[23:07:52.720]',86.719,0.663,0.094
'[23:07:52.728]',85.938,0.659,0.094
'[23:07:52.736]',85.938,0.651,0.094
'[23:07:52.744]',85.156,0.643,0.087
'[23:07:52.752]',85.156,0.635,0.055
'[23:07:52.760]',84.375,0.624,0.102
'[23:07:52.768]',83.594,0.612,0.346
'[23:07:52.776]',83.594,0.596,0.803
'[23:07:52.784]',82.812,0.580,1.260
'[23:07:52.792]',82.812,0.565,1.283
'[23:07:52.800]',82.031,0.545,0.858
'[23:07:52.808]',81.250,0.525,0.402
'[23:07:52.816]',79.688,0.510,0.220
'[23:07:52.824]',78.906,0.490,0.102
'[23:07:52.832]',78.125,0.475,0.047
'[23:07:52.840]',78.125,0.459,0.031
'[23:07:52.848]',77.344,0.443,0.024
'[23:07:52.856]',77.344,0.427,0.024
'[23:07:52.864]',77.344,0.412,0.024
'[23:07:52.872]',77.344,0.400,0.024
'[23:07:52.880]',77.344,0.384,0.031
'[23:07:52.888]',76.562,0.369,0.039
'[23:07:52.896]',76.562,0.357,0.047
'[23:07:52.904]',75.781,0.345,0.055
'[23:07:52.912]',75.000,0.333,0.063
'[23:07:52.920]',75.000,0.325,0.071
'[23:07:52.928]',74.219,0.314,0.079
'[23:07:52.936]',73.438,0.310,0.094
'[23:07:52.944]',72.656,0.302,0.102
'[23:07:52.952]',72.656,0.298,0.118
'[23:07:52.960]',71.875,0.294,0.126
'[23:07:52.968]',71.875,0.290,0.142
'[23:07:52.976]',71.875,0.286,0.150
'[23:07:52.984]',71.875,0.286,0.165
'[23:07:52.992]',71.875,0.282,0.181
'[23:07:53.000]',71.875,0.282,0.197
'[23:07:53.008]',71.875,0.278,0.213
'[23:07:53.016]',72.656,0.278,0.236
'[23:07:53.024]',75.000,0.275,0.260
'[23:07:53.032]',78.125,0.275,0.291
'[23:07:53.040]',82.031,0.271,0.307
'[23:07:53.048]',86.719,0.271,0.331
'[23:07:53.056]',92.188,0.267,0.346
'[23:07:53.064]',97.656,0.267,0.362
'[23:07:53.072]',102.344,0.267,0.378
'[23:07:53.080]',107.031,0.263,0.386
'[23:07:53.088]',111.719,0.263,0.378
'[23:07:53.096]',116.406,0.263,0.346
'[23:07:53.104]',121.094,0.263,0.307
'[23:07:53.112]',125.781,0.263,0.260
'[23:07:53.120]',130.469,0.263,0.220
'[23:07:53.128]',134.375,0.263,0.189
'[23:07:53.136]',138.281,0.263,0.165
'[23:07:53.144]',141.406,0.263,0.142
'[23:07:53.152]',143.750,0.263,0.134
'[23:07:53.160]',145.312,0.263,0.126
'[23:07:53.168]',146.094,0.263,0.118
'[23:07:53.176]',147.656,0.263,0.126
'[23:07:53.184]',148.438,0.259,0.110
'[23:07:53.192]',148.438,0.259,0.118
'[23:07:53.200]',149.219,0.255,0.110
'[23:07:53.208]',149.219,0.255,0.110
'[23:07:53.216]',149.219,0.251,0.118
'[23:07:53.224]',148.438,0.251,0.118
'[23:07:53.232]',146.875,0.251,0.110
'[23:07:53.240]',145.312,0.247,0.118
'[23:07:53.248]',143.750,0.247,0.118
'[23:07:53.256]',142.188,0.247,0.118
'[23:07:53.264]',139.844,0.247,0.118
'[23:07:53.272]',137.500,0.247,0.126
'[23:07:53.280]',135.156,0.247,0.118
'[23:07:53.288]',132.031,0.251,0.126
'[23:07:53.296]',128.125,0.259,0.118
'[23:07:53.304]',124.219,0.271,0.126
'[23:07:53.312]',120.312,0.282,0.134
'[23:07:53.320]',116.406,0.302,0.126
'[23:07:53.328]',112.500,0.325,0.126
'[23:07:53.336]',109.375,0.349,0.118
'[23:07:53.344]',106.250,0.373,0.118
'[23:07:53.352]',103.906,0.400,0.118
'[23:07:53.360]',102.344,0.427,0.118
'[23:07:53.368]',100.781,0.455,0.118
'[23:07:53.376]',99.219,0.486,0.118
'[23:07:53.384]',98.438,0.514,0.118
'[23:07:53.392]',96.875,0.545,0.118
'[23:07:53.400]',96.094,0.573,0.134
'[23:07:53.408]',95.312,0.600,0.165
'[23:07:53.416]',94.531,0.624,0.173
'[23:07:53.424]',93.750,0.643,0.189
'[23:07:53.432]',92.969,0.667,0.205
'[23:07:53.440]',92.188,0.682,0.260
'[23:07:53.448]',91.406,0.694,0.283
'[23:07:53.456]',90.625,0.706,0.291
'[23:07:53.464]',89.844,0.718,0.276
'[23:07:53.472]',89.062,0.729,0.220
'[23:07:53.480]',89.062,0.737,0.173
'[23:07:53.488]',88.281,0.745,0.126
'[23:07:53.496]',88.281,0.749,0.094
'[23:07:53.504]',87.500,0.749,0.094
'[23:07:53.512]',87.500,0.753,0.087
'[23:07:53.520]',86.719,0.749,0.087
'[23:07:53.528]',85.938,0.745,0.079
'[23:07:53.536]',85.156,0.737,0.047
'[23:07:53.544]',85.156,0.725,0.094
'[23:07:53.552]',84.375,0.714,0.339
'[23:07:53.560]',83.594,0.702,0.780
'[23:07:53.568]',82.812,0.686,1.244
'[23:07:53.576]',82.031,0.671,1.268
'[23:07:53.584]',81.250,0.651,0.874
'[23:07:53.592]',81.250,0.631,0.409
'[23:07:53.600]',80.469,0.612,0.220
'[23:07:53.608]',80.469,0.592,0.110
'[23:07:53.616]',79.688,0.573,0.055
'[23:07:53.624]',79.688,0.557,0.031
'[23:07:53.632]',78.906,0.537,0.031
'[23:07:53.640]',78.906,0.525,0.031
'[23:07:53.648]',78.125,0.510,0.024
'[23:07:53.656]',78.125,0.494,0.039
'[23:07:53.664]',78.125,0.478,0.039
'[23:07:53.672]',77.344,0.467,0.047
'[23:07:53.680]',76.562,0.455,0.055
'[23:07:53.688]',76.562,0.443,0.063
'[23:07:53.696]',75.781,0.431,0.071
'[23:07:53.704]',75.000,0.420,0.079
'[23:07:53.712]',75.000,0.412,0.079
'[23:07:53.720]',74.219,0.404,0.094
'[23:07:53.728]',73.438,0.396,0.110
'[23:07:53.736]',73.438,0.388,0.118
'[23:07:53.744]',73.438,0.380,0.134
'[23:07:53.752]',72.656,0.376,0.142
'[23:07:53.760]',72.656,0.369,0.157
'[23:07:53.768]',71.875,0.365,0.165
'[23:07:53.776]',71.875,0.357,0.189
'[23:07:53.784]',71.094,0.353,0.205
'[23:07:53.792]',71.094,0.345,0.228
'[23:07:53.800]',71.875,0.341,0.244
'[23:07:53.808]',74.219,0.333,0.276
'[23:07:53.816]',77.344,0.329,0.307
'[23:07:53.824]',82.031,0.322,0.315
'[23:07:53.832]',86.719,0.318,0.346
'[23:07:53.840]',92.188,0.314,0.362
'[23:07:53.848]',97.656,0.310,0.378
'[23:07:53.856]',102.344,0.306,0.394
'[23:07:53.864]',107.031,0.302,0.402
'[23:07:53.872]',111.719,0.298,0.386
'[23:07:53.880]',115.625,0.294,0.362
'[23:07:53.888]',119.531,0.294,0.307
'[23:07:53.896]',124.219,0.290,0.268
'[23:07:53.904]',128.906,0.290,0.228
'[23:07:53.912]',133.594,0.290,0.189
'[23:07:53.920]',137.500,0.290,0.165
'[23:07:53.928]',140.625,0.290,0.150
'[23:07:53.936]',143.750,0.290,0.142
'[23:07:53.944]',146.094,0.294,0.142
'[23:07:53.952]',147.656,0.294,0.134
'[23:07:53.960]',148.438,0.298,0.134
'[23:07:53.968]',149.219,0.298,0.142
'[23:07:53.976]',150.000,0.302,0.134
'[23:07:53.984]',150.000,0.302,0.134
'[23:07:53.992]',149.219,0.302,0.134
'[23:07:54.000]',148.438,0.306,0.134
'[23:07:54.008]',147.656,0.306,0.126
'[23:07:54.016]',146.094,0.306,0.126
'[23:07:54.024]',145.312,0.306,0.134
'[23:07:54.032]',143.750,0.310,0.134
'[23:07:54.040]',141.406,0.310,0.142
'[23:07:54.048]',139.062,0.310,0.150
'[23:07:54.056]',136.719,0.310,0.150
'[23:07:54.064]',133.594,0.314,0.150
'[23:07:54.072]',130.469,0.318,0.157
'[23:07:54.080]',127.344,0.325,0.165
'[23:07:54.088]',123.438,0.333,0.157
'[23:07:54.096]',119.531,0.349,0.165
'[23:07:54.104]',116.406,0.365,0.165
'[23:07:54.112]',112.500,0.384,0.165
'[23:07:54.120]',109.375,0.408,0.157
'[23:07:54.128]',106.250,0.435,0.165
'[23:07:54.136]',103.906,0.455,0.157
'[23:07:54.144]',101.562,0.478,0.165
'[23:07:54.152]',100.000,0.502,0.157
'[23:07:54.160]',98.438,0.525,0.165
'[23:07:54.168]',96.875,0.553,0.197
'[23:07:54.176]',96.094,0.576,0.213
'[23:07:54.184]',95.312,0.604,0.236
'[23:07:54.192]',95.312,0.627,0.252
'[23:07:54.200]',94.531,0.651,0.299
'[23:07:54.208]',93.750,0.671,0.323
'[23:07:54.216]',92.969,0.690,0.331
'[23:07:54.224]',92.188,0.706,0.315
'[23:07:54.232]',91.406,0.714,0.252
'[23:07:54.240]',90.625,0.722,0.213
'[23:07:54.248]',89.844,0.729,0.165
'[23:07:54.256]',89.844,0.737,0.142
'[23:07:54.264]',89.062,0.745,0.134
'[23:07:54.272]',88.281,0.749,0.134
'[23:07:54.280]',88.281,0.749,0.126
'[23:07:54.288]',87.500,0.753,0.118
'[23:07:54.296]',87.500,0.749,0.094
'[23:07:54.304]',86.719,0.749,0.134
'[23:07:54.312]',85.938,0.745,0.386
'[23:07:54.320]',85.156,0.737,0.835
'[23:07:54.328]',84.375,0.729,1.299
'[23:07:54.336]',83.594,0.718,1.315
'[23:07:54.344]',82.812,0.706,0.913
'[23:07:54.352]',82.031,0.694,0.457
'[23:07:54.360]',81.250,0.678,0.268
'[23:07:54.368]',81.250,0.663,0.150
'[23:07:54.376]',81.250,0.643,0.102
'[23:07:54.384]',80.469,0.627,0.094
'[23:07:54.392]',80.469,0.608,0.094
'[23:07:54.400]',79.688,0.592,0.079
'[23:07:54.408]',78.906,0.573,0.079
'[23:07:54.416]',78.906,0.557,0.094
'[23:07:54.424]',78.125,0.545,0.102
'[23:07:54.432]',78.125,0.529,0.110
'[23:07:54.440]',78.125,0.518,0.118
'[23:07:54.448]',77.344,0.506,0.118
'[23:07:54.456]',76.562,0.494,0.134
'[23:07:54.464]',75.781,0.482,0.142
'[23:07:54.472]',75.000,0.467,0.150
'[23:07:54.480]',74.219,0.455,0.165
'[23:07:54.488]',74.219,0.447,0.181
'[23:07:54.496]',74.219,0.435,0.189
'[23:07:54.504]',74.219,0.424,0.205
'[23:07:54.512]',73.438,0.416,0.220
'[23:07:54.520]',73.438,0.408,0.236
'[23:07:54.528]',72.656,0.404,0.244
'[23:07:54.536]',71.875,0.396,0.260
'[23:07:54.544]',71.875,0.396,0.276
'[23:07:54.552]',72.656,0.392,0.299
'[23:07:54.560]',73.438,0.388,0.315
'[23:07:54.568]',75.781,0.384,0.346
'[23:07:54.576]',78.906,0.384,0.370
'[23:07:54.584]',82.812,0.380,0.402
'[23:07:54.592]',86.719,0.376,0.433
'[23:07:54.600]',92.188,0.376,0.449
'[23:07:54.608]',97.656,0.373,0.472
'[23:07:54.616]',103.125,0.369,0.488
'[23:07:54.624]',107.812,0.361,0.480
