'Time','II','III','AVR','AVL','AVF','V','RESP','PLETH','ABP'
'[14:53:38.397]',-0.146,-,0.685,-,-,0.380,0.757,1.304,100.184
'[14:53:38.405]',-0.120,-,0.665,-,-,0.370,0.740,1.299,102.686
'[14:53:38.413]',-0.146,-,0.680,-,-,0.380,0.725,1.295,105.048
'[14:53:38.421]',-0.120,-,0.655,-,-,0.370,0.711,1.295,107.067
'[14:53:38.429]',-0.146,-,0.685,-,-,0.375,0.697,1.306,108.495
'[14:53:38.437]',-0.120,-,0.660,-,-,0.365,0.684,1.325,109.314
'[14:53:38.445]',-0.140,-,0.685,-,-,0.375,0.671,1.356,109.568
'[14:53:38.453]',-0.115,-,0.655,-,-,0.360,0.658,1.409,109.181
'[14:53:38.461]',-0.135,-,0.680,-,-,0.365,0.645,1.489,108.317
'[14:53:38.469]',-0.106,-,0.645,-,-,0.360,0.632,1.598,107.111
'[14:53:38.477]',-0.126,-,0.670,-,-,0.365,0.619,1.733,105.683
'[14:53:38.485]',-0.106,-,0.645,-,-,0.355,0.606,1.888,104.248
'[14:53:38.493]',-0.126,-,0.670,-,-,0.360,0.594,2.055,102.863
'[14:53:38.501]',-0.115,-,0.645,-,-,0.350,0.583,2.222,101.613
'[14:53:38.509]',-0.155,-,0.685,-,-,0.340,0.572,2.377,100.546
'[14:53:38.517]',-0.175,-,0.700,-,-,0.325,0.562,2.511,99.683
'[14:53:38.525]',-0.196,-,0.685,-,-,0.310,0.552,2.619,99.003
'[14:53:38.533]',-0.200,-,0.710,-,-,0.320,0.543,2.696,98.438
'[14:53:38.541]',-0.151,-,0.660,-,-,0.315,0.533,2.741,97.981
'[14:53:38.549]',-0.110,-,0.625,-,-,0.320,0.524,2.761,97.549
'[14:53:38.557]',-0.075,-,0.600,-,-,0.300,0.514,2.766,97.187
'[14:53:38.565]',-0.081,-,0.630,-,-,0.315,0.505,2.758,96.730
'[14:53:38.573]',-0.070,-,0.625,-,-,0.335,0.496,2.738,96.235
'[14:53:38.581]',-0.100,-,0.660,-,-,0.350,0.488,2.707,95.733
'[14:53:38.589]',-0.081,-,0.635,-,-,0.335,0.481,2.665,95.187
'[14:53:38.597]',-0.100,-,0.660,-,-,0.345,0.474,2.616,94.622
'[14:53:38.605]',-0.075,-,0.630,-,-,0.335,0.467,2.562,94.051
'[14:53:38.613]',-0.086,-,0.650,-,-,0.340,0.460,2.503,93.441
'[14:53:38.621]',-0.065,-,0.630,-,-,0.330,0.453,2.444,92.870
'[14:53:38.629]',-0.081,-,0.650,-,-,0.335,0.446,2.384,92.305
'[14:53:38.637]',-0.055,-,0.620,-,-,0.330,0.439,2.330,91.733
'[14:53:38.645]',-0.081,-,0.655,-,-,0.340,0.432,2.281,91.168
'[14:53:38.653]',-0.050,-,0.625,-,-,0.325,0.426,2.231,90.622
'[14:53:38.661]',-0.065,-,0.640,-,-,0.335,0.420,2.186,90.121
'[14:53:38.669]',-0.035,-,0.605,-,-,0.320,0.414,2.150,89.556
'[14:53:38.677]',0.015,-,0.575,-,-,0.310,0.409,2.124,89.054
'[14:53:38.685]',0.375,-,0.340,-,-,0.165,0.404,2.109,88.559
'[14:53:38.693]',0.910,-,0.065,-,-,-0.500,0.399,2.107,88.057
'[14:53:38.701]',1.501,-,-0.276,-,-,-0.500,0.394,2.112,87.625
'[14:53:38.709]',1.501,-,-0.500,-,-,-0.500,0.390,2.124,87.238
'[14:53:38.717]',1.501,-,-0.496,-,-,-0.500,0.386,2.137,86.806
'[14:53:38.725]',1.296,-,-0.240,-,-,-0.500,0.382,2.147,86.489
'[14:53:38.733]',0.575,-,0.210,-,-,-0.451,0.378,2.152,86.241
'[14:53:38.741]',0.030,-,0.580,-,-,0.225,0.375,2.153,86.057
'[14:53:38.749]',-0.106,-,0.660,-,-,0.485,0.371,2.148,85.924
'[14:53:38.757]',-0.151,-,0.690,-,-,0.550,0.368,2.129,85.873
'[14:53:38.765]',-0.175,-,0.715,-,-,0.585,0.365,2.104,85.924
'[14:53:38.773]',-0.166,-,0.690,-,-,0.585,0.361,2.080,85.987
'[14:53:38.781]',-0.200,-,0.725,-,-,0.595,0.358,2.058,86.057
'[14:53:38.789]',-0.186,-,0.700,-,-,0.590,0.355,2.032,86.057
'[14:53:38.797]',-0.205,-,0.725,-,-,0.610,0.352,2.006,86.057
'[14:53:38.805]',-0.180,-,0.705,-,-,0.590,0.349,1.980,85.987
'[14:53:38.813]',-0.196,-,0.725,-,-,0.595,0.346,1.957,85.810
'[14:53:38.821]',-0.175,-,0.700,-,-,0.585,0.344,1.935,85.492
'[14:53:38.829]',-0.196,-,0.720,-,-,0.590,0.341,1.915,85.060
'[14:53:38.837]',-0.166,-,0.695,-,-,0.570,0.339,1.897,84.559
'[14:53:38.845]',-0.180,-,0.715,-,-,0.580,0.337,1.880,83.994
'[14:53:38.853]',-0.160,-,0.680,-,-,0.565,0.335,1.859,83.422
'[14:53:38.861]',-0.175,-,0.705,-,-,0.570,0.334,1.840,82.857
'[14:53:38.869]',-0.151,-,0.675,-,-,0.550,0.333,1.820,82.311
'[14:53:38.877]',-0.166,-,0.700,-,-,0.555,0.331,1.800,81.810
'[14:53:38.885]',-0.140,-,0.675,-,-,0.540,0.330,1.780,81.359
'[14:53:38.893]',-0.146,-,0.695,-,-,0.545,0.329,1.761,80.990
'[14:53:38.901]',-0.115,-,0.665,-,-,0.535,0.328,1.741,80.610
'[14:53:38.909]',-0.106,-,0.655,-,-,0.545,0.328,1.720,80.356
'[14:53:38.917]',-0.110,-,0.670,-,-,0.540,0.327,1.701,80.108
'[14:53:38.925]',-0.086,-,0.650,-,-,0.535,0.326,1.681,79.994
'[14:53:38.933]',-0.095,-,0.660,-,-,0.545,0.326,1.663,79.860
'[14:53:38.941]',-0.061,-,0.630,-,-,0.530,0.325,1.648,79.606
'[14:53:38.949]',-0.075,-,0.650,-,-,0.540,0.325,1.635,79.359
'[14:53:38.957]',-0.030,-,0.610,-,-,0.520,0.324,1.620,79.105
'[14:53:38.965]',-0.035,-,0.630,-,-,0.535,0.324,1.605,78.997
'[14:53:38.973]',0.015,-,0.585,-,-,0.520,0.323,1.590,78.927
'[14:53:38.981]',0.010,-,0.595,-,-,0.525,0.323,1.576,78.997
'[14:53:38.989]',0.055,-,0.550,-,-,0.510,0.323,1.560,79.060
'[14:53:38.997]',0.050,-,0.565,-,-,0.515,0.324,1.545,79.060
'[14:53:39.005]',0.080,-,0.535,-,-,0.485,0.324,1.531,78.927
'[14:53:39.013]',0.070,-,0.545,-,-,0.475,0.325,1.516,78.813
'[14:53:39.021]',0.080,-,0.530,-,-,0.450,0.325,1.500,78.813
'[14:53:39.029]',0.060,-,0.555,-,-,0.435,0.326,1.484,79.060
'[14:53:39.037]',0.070,-,0.530,-,-,0.405,0.326,1.474,80.063
'[14:53:39.045]',0.020,-,0.570,-,-,0.405,0.327,1.466,82.489
'[14:53:39.053]',0.015,-,0.565,-,-,0.390,0.327,1.457,87.054
'[14:53:39.061]',-0.050,-,0.625,-,-,0.390,0.327,1.451,94.190
'[14:53:39.069]',-0.055,-,0.610,-,-,0.400,0.327,1.446,103.683
'[14:53:39.077]',-0.100,-,0.655,-,-,0.390,0.327,1.441,114.356
'[14:53:39.085]',-0.106,-,0.650,-,-,0.400,0.327,1.436,124.940
'[14:53:39.093]',-0.135,-,0.680,-,-,0.390,0.327,1.430,134.254
'[14:53:39.101]',-0.130,-,0.670,-,-,0.400,0.327,1.422,141.251
'[14:53:39.109]',-0.151,-,0.695,-,-,0.395,0.327,1.413,145.498
'[14:53:39.117]',-0.160,-,0.675,-,-,0.405,0.326,1.404,146.743
'[14:53:39.125]',-0.140,-,0.670,-,-,0.395,0.325,1.394,145.181
'[14:53:39.133]',-0.160,-,0.695,-,-,0.410,0.323,1.384,141.498
'[14:53:39.141]',-0.130,-,0.665,-,-,0.405,0.321,1.377,136.616
'[14:53:39.149]',-0.151,-,0.695,-,-,0.410,0.318,1.371,131.117
'[14:53:39.157]',-0.120,-,0.660,-,-,0.405,0.315,1.363,125.486
'[14:53:39.165]',-0.146,-,0.685,-,-,0.415,0.312,1.354,119.879
'[14:53:39.173]',-0.120,-,0.660,-,-,0.405,0.308,1.344,114.356
'[14:53:39.181]',-0.151,-,0.690,-,-,0.405,0.303,1.335,108.997
'[14:53:39.189]',-0.126,-,0.665,-,-,0.400,0.299,1.326,104.044
'[14:53:39.197]',-0.146,-,0.690,-,-,0.405,0.293,1.316,99.867
'[14:53:39.205]',-0.126,-,0.665,-,-,0.395,0.287,1.304,96.483
'[14:53:39.213]',-0.135,-,0.680,-,-,0.405,0.281,1.293,93.873
'[14:53:39.221]',-0.120,-,0.660,-,-,0.390,0.275,1.285,91.689
'[14:53:39.229]',-0.140,-,0.685,-,-,0.400,0.270,1.279,89.987
'[14:53:39.237]',-0.120,-,0.665,-,-,0.385,0.264,1.276,89.238
'[14:53:39.245]',-0.146,-,0.700,-,-,0.395,0.258,1.274,89.556
'[14:53:39.253]',-0.120,-,0.670,-,-,0.380,0.252,1.271,90.984
'[14:53:39.261]',-0.146,-,0.695,-,-,0.385,0.245,1.267,93.232
'[14:53:39.269]',-0.120,-,0.665,-,-,0.375,0.238,1.262,95.867
'[14:53:39.277]',-0.146,-,0.690,-,-,0.380,0.231,1.257,98.552
'[14:53:39.285]',-0.126,-,0.665,-,-,0.370,0.225,1.252,101.048
'[14:53:39.293]',-0.140,-,0.680,-,-,0.380,0.218,1.247,103.117
'[14:53:39.301]',-0.126,-,0.660,-,-,0.365,0.212,1.244,104.546
'[14:53:39.309]',-0.146,-,0.690,-,-,0.370,0.206,1.245,105.429
'[14:53:39.317]',-0.126,-,0.665,-,-,0.375,0.201,1.255,105.752
'[14:53:39.325]',-0.120,-,0.685,-,-,0.360,0.197,1.282,105.498
'[14:53:39.333]',-0.146,-,0.695,-,-,0.370,0.193,1.329,104.749
'[14:53:39.341]',-0.115,-,0.660,-,-,0.360,0.188,1.389,103.613
'[14:53:39.349]',-0.140,-,0.690,-,-,0.375,0.184,1.467,102.184
'[14:53:39.357]',-0.110,-,0.650,-,-,0.360,0.181,1.578,100.686
'[14:53:39.365]',-0.135,-,0.685,-,-,0.365,0.177,1.714,99.251
'[14:53:39.373]',-0.120,-,0.655,-,-,0.350,0.174,1.864,97.867
'[14:53:39.381]',-0.175,-,0.700,-,-,0.340,0.171,2.019,96.686
'[14:53:39.389]',-0.171,-,0.690,-,-,0.320,0.168,2.165,95.619
'[14:53:39.397]',-0.205,-,0.720,-,-,0.330,0.165,2.294,94.686
'[14:53:39.405]',-0.180,-,0.680,-,-,0.325,0.163,2.400,93.937
'[14:53:39.413]',-0.166,-,0.690,-,-,0.330,0.161,2.476,93.371
'[14:53:39.421]',-0.100,-,0.630,-,-,0.310,0.159,2.522,92.940
'[14:53:39.429]',-0.090,-,0.635,-,-,0.320,0.158,2.540,92.552
'[14:53:39.437]',-0.075,-,0.630,-,-,0.325,0.156,2.537,92.235
'[14:53:39.445]',-0.106,-,0.675,-,-,0.355,0.155,2.516,91.943
'[14:53:39.453]',-0.086,-,0.650,-,-,0.345,0.153,2.481,91.625
'[14:53:39.461]',-0.106,-,0.675,-,-,0.355,0.152,2.435,91.302
'[14:53:39.469]',-0.081,-,0.640,-,-,0.350,0.151,2.380,90.984
'[14:53:39.477]',-0.106,-,0.675,-,-,0.355,0.150,2.318,90.667
'[14:53:39.485]',-0.075,-,0.635,-,-,0.350,0.149,2.251,90.375
'[14:53:39.493]',-0.090,-,0.665,-,-,0.350,0.148,2.182,90.057
'[14:53:39.501]',-0.075,-,0.640,-,-,0.355,0.147,2.113,89.625
'[14:53:39.509]',-0.090,-,0.655,-,-,0.340,0.146,2.048,89.238
'[14:53:39.517]',-0.070,-,0.660,-,-,0.350,0.145,1.989,88.806
'[14:53:39.525]',-0.061,-,0.630,-,-,0.340,0.144,1.941,88.375
'[14:53:39.533]',-0.075,-,0.650,-,-,0.350,0.144,1.905,87.873
'[14:53:39.541]',-0.045,-,0.620,-,-,0.335,0.143,1.880,87.378
'[14:53:39.549]',0.055,-,0.545,-,-,0.330,0.144,1.863,86.876
'[14:53:39.557]',0.470,-,0.290,-,-,0.075,0.144,1.854,86.375
'[14:53:39.565]',1.030,-,-0.025,-,-,-0.500,0.144,1.855,85.810
'[14:53:39.573]',1.501,-,-0.350,-,-,-0.500,0.144,1.863,85.308
'[14:53:39.581]',1.501,-,-0.500,-,-,-0.500,0.144,1.877,84.806
'[14:53:39.589]',1.501,-,-0.401,-,-,-0.500,0.144,1.893,84.375
'[14:53:39.597]',0.956,-,-0.086,-,-,-0.500,0.144,1.910,83.924
'[14:53:39.605]',0.290,-,0.380,-,-,-0.211,0.144,1.923,83.625
'[14:53:39.613]',-0.055,-,0.635,-,-,0.335,0.145,1.931,83.352
'[14:53:39.621]',-0.106,-,0.665,-,-,0.510,0.146,1.934,83.175
'[14:53:39.629]',-0.166,-,0.710,-,-,0.580,0.147,1.932,83.105
'[14:53:39.637]',-0.166,-,0.700,-,-,0.580,0.148,1.925,83.175
'[14:53:39.645]',-0.191,-,0.735,-,-,0.595,0.150,1.915,83.244
'[14:53:39.653]',-0.175,-,0.710,-,-,0.590,0.152,1.903,83.308
'[14:53:39.661]',-0.196,-,0.735,-,-,0.600,0.154,1.889,83.352
'[14:53:39.669]',-0.175,-,0.705,-,-,0.590,0.156,1.870,83.308
'[14:53:39.677]',-0.191,-,0.730,-,-,0.595,0.157,1.848,83.244
'[14:53:39.685]',-0.166,-,0.700,-,-,0.585,0.159,1.825,83.060
'[14:53:39.693]',-0.191,-,0.725,-,-,0.580,0.161,1.803,82.813
'[14:53:39.701]',-0.166,-,0.700,-,-,0.565,0.163,1.781,82.489
'[14:53:39.709]',-0.171,-,0.715,-,-,0.560,0.166,1.761,82.057
'[14:53:39.717]',-0.155,-,0.695,-,-,0.565,0.168,1.741,81.606
'[14:53:39.725]',-0.166,-,0.710,-,-,0.550,0.170,1.720,81.175
'[14:53:39.733]',-0.146,-,0.685,-,-,0.545,0.172,1.701,80.743
'[14:53:39.741]',-0.130,-,0.675,-,-,0.540,0.174,1.683,80.311
'[14:53:39.749]',-0.151,-,0.705,-,-,0.545,0.176,1.668,79.924
'[14:53:39.757]',-0.120,-,0.670,-,-,0.525,0.179,1.652,79.562
'[14:53:39.765]',-0.135,-,0.690,-,-,0.535,0.181,1.639,79.244
'[14:53:39.773]',-0.106,-,0.655,-,-,0.515,0.183,1.627,78.997
'[14:53:39.781]',-0.115,-,0.680,-,-,0.520,0.186,1.613,78.743
'[14:53:39.789]',-0.081,-,0.645,-,-,0.510,0.188,1.599,78.565
'[14:53:39.797]',-0.095,-,0.665,-,-,0.520,0.190,1.585,78.356
'[14:53:39.805]',-0.065,-,0.635,-,-,0.505,0.192,1.570,78.248
'[14:53:39.813]',-0.061,-,0.650,-,-,0.515,0.194,1.555,77.994
'[14:53:39.821]',-0.025,-,0.615,-,-,0.500,0.196,1.541,77.746
'[14:53:39.829]',-0.035,-,0.630,-,-,0.510,0.199,1.526,77.492
'[14:53:39.837]',0.015,-,0.580,-,-,0.500,0.202,1.513,77.359
'[14:53:39.845]',0.010,-,0.600,-,-,0.500,0.205,1.502,77.359
'[14:53:39.853]',0.055,-,0.555,-,-,0.485,0.207,1.491,77.429
'[14:53:39.861]',0.044,-,0.575,-,-,0.490,0.210,1.478,77.492
'[14:53:39.869]',0.080,-,0.535,-,-,0.470,0.212,1.466,77.429
'[14:53:39.877]',0.070,-,0.555,-,-,0.465,0.214,1.456,77.359
'[14:53:39.885]',0.095,-,0.515,-,-,0.445,0.216,1.445,77.314
'[14:53:39.893]',0.065,-,0.550,-,-,0.435,0.219,1.434,77.429
'[14:53:39.901]',0.080,-,0.530,-,-,0.410,0.221,1.424,78.178
'[14:53:39.909]',0.050,-,0.560,-,-,0.400,0.223,1.414,80.311
'[14:53:39.917]',0.030,-,0.555,-,-,0.385,0.225,1.405,84.489
'[14:53:39.925]',-0.010,-,0.595,-,-,0.380,0.227,1.395,91.441
'[14:53:39.933]',-0.035,-,0.615,-,-,0.390,0.228,1.385,100.933
'[14:53:39.941]',-0.070,-,0.605,-,-,0.380,0.229,1.377,111.994
'[14:53:39.949]',-0.095,-,0.655,-,-,0.395,0.230,1.371,123.124
'[14:53:39.957]',-0.090,-,0.640,-,-,0.385,0.232,1.363,133.048
'[14:53:39.965]',-0.130,-,0.685,-,-,0.400,0.232,1.355,140.749
'[14:53:39.973]',-0.115,-,0.655,-,-,0.390,0.233,1.347,145.676
'[14:53:39.981]',-0.151,-,0.695,-,-,0.405,0.233,1.339,147.562
'[14:53:39.989]',-0.130,-,0.670,-,-,0.400,0.233,1.333,146.565
'[14:53:39.997]',-0.155,-,0.695,-,-,0.405,0.231,1.327,143.314
'[14:53:40.005]',-0.130,-,0.670,-,-,0.405,0.230,1.323,138.571
'[14:53:40.013]',-0.151,-,0.690,-,-,0.420,0.228,1.318,133.302
'[14:53:40.021]',-0.130,-,0.665,-,-,0.405,0.226,1.313,127.873
'[14:53:40.029]',-0.151,-,0.695,-,-,0.425,0.223,1.308,122.559
'[14:53:40.037]',-0.120,-,0.660,-,-,0.410,0.221,1.305,117.244
'[14:53:40.045]',-0.151,-,0.695,-,-,0.415,0.217,1.304,112.178
'[14:53:40.053]',-0.126,-,0.665,-,-,0.405,0.214,1.300,107.498
'[14:53:40.061]',-0.146,-,0.690,-,-,0.415,0.210,1.294,103.365
'[14:53:40.069]',-0.120,-,0.655,-,-,0.405,0.206,1.287,100.006
'[14:53:40.077]',-0.135,-,0.680,-,-,0.410,0.201,1.279,97.232
'[14:53:40.085]',-0.120,-,0.655,-,-,0.400,0.197,1.271,94.940
'[14:53:40.093]',-0.146,-,0.695,-,-,0.395,0.192,1.264,92.940
'[14:53:40.101]',-0.126,-,0.670,-,-,0.405,0.188,1.258,91.441
'[14:53:40.109]',-0.120,-,0.665,-,-,0.395,0.184,1.253,90.870
'[14:53:40.117]',-0.146,-,0.690,-,-,0.400,0.180,1.248,91.441
'[14:53:40.125]',-0.120,-,0.670,-,-,0.385,0.176,1.243,92.984
'[14:53:40.133]',-0.146,-,0.695,-,-,0.395,0.173,1.240,95.187
'[14:53:40.141]',-0.120,-,0.660,-,-,0.380,0.170,1.239,97.619
'[14:53:40.149]',-0.146,-,0.695,-,-,0.390,0.167,1.233,100.006
'[14:53:40.157]',-0.120,-,0.670,-,-,0.375,0.164,1.226,102.114
'[14:53:40.165]',-0.151,-,0.695,-,-,0.380,0.161,1.220,103.797
'[14:53:40.173]',-0.130,-,0.665,-,-,0.370,0.158,1.218,104.933
'[14:53:40.181]',-0.146,-,0.690,-,-,0.380,0.156,1.227,105.498
'[14:53:40.189]',-0.120,-,0.660,-,-,0.370,0.153,1.251,105.543
'[14:53:40.197]',-0.140,-,0.685,-,-,0.380,0.151,1.295,105.111
'[14:53:40.205]',-0.120,-,0.665,-,-,0.365,0.150,1.364,104.248
'[14:53:40.213]',-0.140,-,0.685,-,-,0.375,0.148,1.458,103.003
'[14:53:40.221]',-0.120,-,0.665,-,-,0.360,0.147,1.580,101.613
'[14:53:40.229]',-0.135,-,0.685,-,-,0.370,0.145,1.720,100.254
'[14:53:40.237]',-0.120,-,0.660,-,-,0.360,0.144,1.851,98.933
'[14:53:40.245]',-0.166,-,0.700,-,-,0.355,0.143,1.978,97.733
'[14:53:40.253]',-0.171,-,0.690,-,-,0.330,0.142,2.117,96.686
'[14:53:40.261]',-0.211,-,0.720,-,-,0.325,0.141,2.253,95.803
'[14:53:40.269]',-0.186,-,0.685,-,-,0.330,0.140,2.373,94.984
'[14:53:40.277]',-0.171,-,0.685,-,-,0.335,0.139,2.469,94.368
'[14:53:40.285]',-0.115,-,0.630,-,-,0.310,0.138,2.536,93.803
'[14:53:40.293]',-0.095,-,0.625,-,-,0.310,0.137,2.573,93.371
'[14:53:40.301]',-0.075,-,0.640,-,-,0.320,0.136,2.584,92.870
'[14:53:40.309]',-0.095,-,0.665,-,-,0.350,0.135,2.573,92.438
'[14:53:40.317]',-0.100,-,0.670,-,-,0.360,0.133,2.544,91.987
'[14:53:40.325]',-0.081,-,0.645,-,-,0.355,0.132,2.501,91.556
'[14:53:40.333]',-0.106,-,0.675,-,-,0.350,0.130,2.456,91.124
'[14:53:40.341]',-0.075,-,0.640,-,-,0.345,0.129,2.407,90.737
'[14:53:40.349]',-0.095,-,0.665,-,-,0.360,0.128,2.348,90.305
'[14:53:40.357]',-0.070,-,0.630,-,-,0.345,0.127,2.285,89.917
'[14:53:40.365]',-0.095,-,0.660,-,-,0.360,0.125,2.222,89.486
'[14:53:40.373]',-0.070,-,0.635,-,-,0.350,0.124,2.159,89.124
'[14:53:40.381]',-0.095,-,0.665,-,-,0.360,0.122,2.101,88.737
'[14:53:40.389]',-0.065,-,0.635,-,-,0.350,0.121,2.048,88.305
'[14:53:40.397]',-0.075,-,0.650,-,-,0.355,0.119,2.003,87.873
'[14:53:40.405]',-0.045,-,0.620,-,-,0.335,0.118,1.969,87.422
'[14:53:40.413]',-0.055,-,0.630,-,-,0.335,0.117,1.943,86.990
'[14:53:40.421]',0.205,-,0.445,-,-,0.290,0.116,1.930,86.559
'[14:53:40.429]',0.700,-,0.175,-,-,-0.240,0.115,1.928,86.057
'[14:53:40.437]',1.341,-,-0.186,-,-,-0.500,0.115,1.932,85.556
'[14:53:40.445]',1.501,-,-0.476,-,-,-0.500,0.114,1.937,85.060
'[14:53:40.453]',1.501,-,-0.500,-,-,-0.500,0.114,1.946,84.629
'[14:53:40.461]',1.466,-,-0.336,-,-,-0.500,0.114,1.957,84.171
'[14:53:40.469]',0.840,-,0.035,-,-,-0.500,0.115,1.968,83.810
'[14:53:40.477]',0.135,-,0.520,-,-,0.090,0.116,1.976,83.562
'[14:53:40.485]',-0.070,-,0.645,-,-,0.455,0.118,1.978,83.352
'[14:53:40.493]',-0.155,-,0.705,-,-,0.580,0.119,1.976,83.244
'[14:53:40.501]',-0.171,-,0.700,-,-,0.605,0.122,1.970,83.105
'[14:53:40.509]',-0.200,-,0.730,-,-,0.625,0.125,1.960,83.105
'[14:53:40.517]',-0.196,-,0.715,-,-,0.630,0.128,1.948,83.175
'[14:53:40.525]',-0.220,-,0.740,-,-,0.630,0.133,1.933,83.244
'[14:53:40.533]',-0.225,-,0.745,-,-,0.640,0.138,1.914,83.308
'[14:53:40.541]',-0.200,-,0.720,-,-,0.620,0.145,1.895,83.308
'[14:53:40.549]',-0.216,-,0.735,-,-,0.625,0.152,1.874,83.175
'[14:53:40.557]',-0.191,-,0.705,-,-,0.610,0.160,1.850,82.990
'[14:53:40.565]',-0.216,-,0.740,-,-,0.615,0.168,1.826,82.673
'[14:53:40.573]',-0.180,-,0.695,-,-,0.595,0.177,1.803,82.241
'[14:53:40.581]',-0.200,-,0.725,-,-,0.605,0.187,1.781,81.854
'[14:53:40.589]',-0.175,-,0.695,-,-,0.580,0.196,1.761,81.422
'[14:53:40.597]',-0.191,-,0.720,-,-,0.585,0.205,1.741,81.060
'[14:53:40.605]',-0.155,-,0.680,-,-,0.570,0.215,1.720,80.610
'[14:53:40.613]',-0.171,-,0.705,-,-,0.570,0.225,1.702,80.241
'[14:53:40.621]',-0.135,-,0.670,-,-,0.555,0.236,1.685,79.924
'[14:53:40.629]',-0.151,-,0.695,-,-,0.555,0.248,1.669,79.606
'[14:53:40.637]',-0.115,-,0.655,-,-,0.545,0.261,1.654,79.314
'[14:53:40.645]',-0.140,-,0.685,-,-,0.550,0.275,1.641,79.060
'[14:53:40.653]',-0.100,-,0.645,-,-,0.535,0.287,1.628,78.857
'[14:53:40.661]',-0.120,-,0.675,-,-,0.545,0.300,1.614,78.743
'[14:53:40.669]',-0.081,-,0.635,-,-,0.535,0.312,1.599,78.610
'[14:53:40.677]',-0.090,-,0.655,-,-,0.540,0.325,1.587,78.356
'[14:53:40.685]',-0.055,-,0.625,-,-,0.530,0.338,1.577,78.108
'[14:53:40.693]',-0.050,-,0.630,-,-,0.535,0.352,1.563,77.860
'[14:53:40.701]',-0.021,-,0.600,-,-,0.530,0.367,1.549,77.746
'[14:53:40.709]',-0.005,-,0.605,-,-,0.525,0.382,1.535,77.676
'[14:53:40.717]',0.020,-,0.575,-,-,0.535,0.398,1.520,77.676
'[14:53:40.725]',0.035,-,0.565,-,-,0.520,0.415,1.505,77.676
'[14:53:40.733]',0.030,-,0.575,-,-,0.505,0.431,1.495,77.676
'[14:53:40.741]',0.065,-,0.540,-,-,0.500,0.448,1.484,77.562
'[14:53:40.749]',0.050,-,0.560,-,-,0.485,0.463,1.471,77.429
'[14:53:40.757]',0.080,-,0.530,-,-,0.465,0.479,1.460,77.492
'[14:53:40.765]',0.055,-,0.550,-,-,0.445,0.494,1.450,78.178
'[14:53:40.773]',0.070,-,0.530,-,-,0.425,0.509,1.440,80.241
'[14:53:40.781]',0.040,-,0.555,-,-,0.405,0.525,1.429,84.425
'[14:53:40.789]',0.015,-,0.550,-,-,0.385,0.540,1.419,91.556
'[14:53:40.797]',-0.030,-,0.605,-,-,0.395,0.557,1.410,101.435
'[14:53:40.805]',-0.025,-,0.595,-,-,0.390,0.573,1.413,113.111
'[14:53:40.813]',-0.086,-,0.645,-,-,0.400,0.587,1.424,125.054
'[14:53:40.821]',-0.081,-,0.630,-,-,0.395,0.601,1.424,135.797
'[14:53:40.829]',-0.120,-,0.675,-,-,0.410,0.614,1.419,144.248
'[14:53:40.837]',-0.115,-,0.650,-,-,0.405,0.626,1.414,149.746
'[14:53:40.845]',-0.146,-,0.690,-,-,0.410,0.639,1.410,152.057
'[14:53:40.853]',-0.130,-,0.670,-,-,0.415,0.651,1.403,151.130
'[14:53:40.861]',-0.155,-,0.695,-,-,0.410,0.663,1.397,147.816
'[14:53:40.869]',-0.135,-,0.665,-,-,0.420,0.674,1.390,142.997
'[14:53:40.877]',-0.155,-,0.695,-,-,0.415,0.684,1.382,137.822
'[14:53:40.885]',-0.126,-,0.665,-,-,0.425,0.695,1.376,132.552
'[14:53:40.893]',-0.140,-,0.680,-,-,0.415,0.703,1.369,127.486
'[14:53:40.901]',-0.126,-,0.665,-,-,0.425,0.712,1.361,122.692
'[14:53:40.909]',-0.120,-,0.660,-,-,0.410,0.719,1.355,118.171
'[14:53:40.917]',-0.140,-,0.675,-,-,0.425,0.726,1.349,114.178
'[14:53:40.925]',-0.120,-,0.660,-,-,0.415,0.731,1.343,110.610
'[14:53:40.933]',-0.140,-,0.680,-,-,0.425,0.737,1.340,107.498
'[14:53:40.941]',-0.120,-,0.660,-,-,0.410,0.741,1.339,104.749
'[14:53:40.949]',-0.140,-,0.685,-,-,0.420,0.745,1.334,102.114
'[14:53:40.957]',-0.120,-,0.665,-,-,0.405,0.748,1.326,99.505
'[14:53:40.965]',-0.140,-,0.685,-,-,0.410,0.751,1.319,97.187
'[14:53:40.973]',-0.120,-,0.655,-,-,0.400,0.753,1.312,95.486
'[14:53:40.981]',-0.135,-,0.685,-,-,0.405,0.755,1.306,94.984
'[14:53:40.989]',-0.115,-,0.655,-,-,0.390,0.756,1.301,95.689
'[14:53:40.997]',-0.140,-,0.690,-,-,0.405,0.757,1.295,97.232
'[14:53:41.005]',-0.120,-,0.665,-,-,0.385,0.759,1.290,99.302
'[14:53:41.013]',-0.146,-,0.690,-,-,0.390,0.760,1.284,101.505
'[14:53:41.021]',-0.126,-,0.670,-,-,0.380,0.761,1.280,103.683
'[14:53:41.029]',-0.146,-,0.695,-,-,0.385,0.763,1.274,105.543
'[14:53:41.037]',-0.120,-,0.665,-,-,0.370,0.765,1.273,106.997
'[14:53:41.045]',-0.146,-,0.690,-,-,0.380,0.768,1.281,107.930
'[14:53:41.053]',-0.120,-,0.665,-,-,0.375,0.771,1.300,108.362
